pr_url,repo_full_name,repo_url,pr_title,repo_stars,changed_files,merged_at,terms_found
https://github.com/zulip/zulip-mobile/pull/3262,zulip/zulip-mobile,https://github.com/zulip/zulip-mobile,Load 'streams' data via a 'register' call,1346,10,2019-03-18T21:25:39Z,race condition
https://github.com/launchdarkly/node-server-sdk/pull/134,launchdarkly/node-server-sdk,https://github.com/launchdarkly/node-server-sdk,prepare 5.7.0 release,79,21,2019-01-12T00:54:43Z,race condition
https://github.com/iov-one/iov-core/pull/692,iov-one/iov-core,https://github.com/iov-one/iov-core,Avoid extra query in block header events,198,3,2019-01-17T11:38:22Z,race condition
https://github.com/ampleforth/market-oracle/pull/42,ampleforth/market-oracle,https://github.com/ampleforth/market-oracle,Fix flaky test `MarketSource:isFresh`,47,1,2019-01-15T22:17:13Z,race condition | flaky test
https://github.com/identity-com/marketplace-tx-js/pull/27,identity-com/marketplace-tx-js,https://github.com/identity-com/marketplace-tx-js,CVC-909 Naive in-memory nonce manager added with sync get-put,26,13,2019-01-15T09:22:10Z,race condition | event race
https://github.com/magento/pwa-studio/pull/743,magento/pwa-studio,https://github.com/magento/pwa-studio,Replace waait with wait-for-expect,1086,5,2019-01-10T21:31:03Z,flaky test
https://github.com/medic/cht-core/pull/5243,medic/cht-core,https://github.com/medic/cht-core,Reintroduces flaky tests,526,4,2019-01-22T20:04:59Z,flaky test
https://github.com/appium/appium-uiautomator2-driver/pull/282,appium/appium-uiautomator2-driver,https://github.com/appium/appium-uiautomator2-driver,Fix possibile race condition on instruments startup,832,1,2019-01-16T17:33:37Z,race condition
https://github.com/embarklabs/embark/pull/1259,embarklabs/embark,https://github.com/embarklabs/embark,feat(compiler): add a new compiler api that checks for compatibility,3781,3,2019-01-18T14:03:40Z,race condition
https://github.com/OHDSI/Atlas/pull/1233,OHDSI/Atlas,https://github.com/OHDSI/Atlas,Concept set fixes,309,8,2019-01-22T20:42:48Z,race condition
https://github.com/facebook/react/pull/14626,facebook/react,https://github.com/facebook/react,Support sync thenables for lazy(),244395,2,2019-01-18T21:16:02Z,race condition
https://github.com/ipfs/js-ipfs/pull/1834,ipfs/js-ipfs,https://github.com/ipfs/js-ipfs,fix: race condition causing Database is not open error,7415,67,2019-01-21T14:24:13Z,race condition
https://github.com/brave-intl/bat-ledger/pull/506,brave-intl/bat-ledger,https://github.com/brave-intl/bat-ledger,Use variable shape captcha endpoint,78,2,2019-01-16T23:38:22Z,flaky test
https://github.com/medic/cht-core/pull/5273,medic/cht-core,https://github.com/medic/cht-core,Updates seq of live changes in batched changes feeds,526,4,2019-01-29T20:58:03Z,race condition
https://github.com/WordPress/gutenberg/pull/13452,WordPress/gutenberg,https://github.com/WordPress/gutenberg,Testing: Fail E2E when page displays warning notices,11602,6,2020-04-07T21:26:09Z,race condition
https://github.com/featurist/sworm/pull/51,featurist/sworm,https://github.com/featurist/sworm,fix race condition while saving,146,4,2019-01-25T14:47:23Z,race condition
https://github.com/cncf/landscapeapp/pull/103,cncf/landscapeapp,https://github.com/cncf/landscapeapp,fix a flaky test; close #102,256,2,2019-01-25T15:11:24Z,flaky test
https://github.com/mozilla-lockwise/lockwise-addon/pull/71,mozilla-lockwise/lockwise-addon,https://github.com/mozilla-lockwise/lockwise-addon,Item deletion & modification integration tests,261,5,2019-02-01T21:00:51Z,race condition
https://github.com/bigbluebutton/bbb-webrtc-sfu/pull/14,bigbluebutton/bbb-webrtc-sfu,https://github.com/bigbluebutton/bbb-webrtc-sfu,Closing version 2.2.3,54,24,2019-01-31T16:11:07Z,race condition
https://github.com/GoogleCloudPlatform/nodejs-docs-samples/pull/1125,GoogleCloudPlatform/nodejs-docs-samples,https://github.com/GoogleCloudPlatform/nodejs-docs-samples,iot: merge gateway management samples from beta into GA,2965,6,2019-02-04T20:36:58Z,flaky test
https://github.com/ampproject/amphtml/pull/20682,ampproject/amphtml,https://github.com/ampproject/amphtml,Skip flaky inabox tests,14915,1,2019-02-05T22:52:03Z,flaky test
https://github.com/stacks-archive/blockstack-browser/pull/1828,stacks-archive/blockstack-browser,https://github.com/stacks-archive/blockstack-browser,Selenium tests for account creation and recovery,1117,23,2019-02-14T20:36:00Z,race condition
https://github.com/binary-com/binary-static/pull/5005,binary-com/binary-static,https://github.com/binary-com/binary-static,oskar/update_multiple_trade,25,3,2019-02-11T09:06:49Z,race condition
https://github.com/tivac/modular-css/pull/565,tivac/modular-css,https://github.com/tivac/modular-css,fix: dependency processing race condition,293,17,2019-02-09T21:53:42Z,race condition
https://github.com/embarklabs/embark/pull/1323,embarklabs/embark,https://github.com/embarklabs/embark,refactor: be consistent with callbacks and promises,3781,27,2019-02-13T19:27:43Z,race condition
https://github.com/bootstrap-vue/bootstrap-vue/pull/2639,bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,docs(modal): correct issue in prevent closing example (Closes #2633),14469,1,2019-02-18T15:28:00Z,race condition
https://github.com/webkom/vote/pull/315,webkom/vote,https://github.com/webkom/vote,Fix race condition and add test,27,9,2019-02-18T22:53:37Z,race condition
https://github.com/GoogleCloudPlatform/nodejs-docs-samples/pull/1142,GoogleCloudPlatform/nodejs-docs-samples,https://github.com/GoogleCloudPlatform/nodejs-docs-samples,Iot gateway flaky tests,2965,2,2019-02-14T17:01:28Z,flaky test
https://github.com/stacks-archive/blockstack-browser/pull/1834,stacks-archive/blockstack-browser,https://github.com/stacks-archive/blockstack-browser,E2E test for sign-in-with-blockstack using hello-blockstack app,1117,26,2019-02-20T22:24:51Z,flaky test
https://github.com/ampproject/amphtml/pull/21033,ampproject/amphtml,https://github.com/ampproject/amphtml,amp-bind: Fix state/ready race condition,14915,4,2019-02-25T17:52:53Z,race condition
https://github.com/RobotWebTools/rclnodejs/pull/467,RobotWebTools/rclnodejs,https://github.com/RobotWebTools/rclnodejs,Eliminate race condition in the unit tests,421,6,2019-02-26T02:17:46Z,race condition
https://github.com/bigbluebutton/bbb-webrtc-sfu/pull/16,bigbluebutton/bbb-webrtc-sfu,https://github.com/bigbluebutton/bbb-webrtc-sfu,Version 2.3.0,54,18,2019-03-01T20:11:13Z,race condition
https://github.com/radiasoft/sirepo/pull/1549,radiasoft/sirepo,https://github.com/radiasoft/sirepo,[SOW 3] Fix race conditions in job startup,66,15,2019-03-27T00:23:22Z,race condition
https://github.com/bootstrap-vue/bootstrap-vue/pull/2816,bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,chore(release): BootstrapVue v2.0.0-rc.15,14469,161,2019-03-18T02:36:27Z,race condition
https://github.com/ampproject/amphtml/pull/21390,ampproject/amphtml,https://github.com/ampproject/amphtml,[amp-list] Fix race condition on access to this.loadMoreService_ ,14915,3,2019-03-15T00:54:46Z,race condition
https://github.com/bootstrap-vue/bootstrap-vue/pull/2834,bootstrap-vue/bootstrap-vue,https://github.com/bootstrap-vue/bootstrap-vue,fix(pagination-nav): fix race condition with clicking prev/next buttons,14469,3,2019-03-14T03:42:52Z,race condition
https://github.com/scality/backbeat/pull/646,scality/backbeat,https://github.com/scality/backbeat,bugfix: ZENKO-1582 check ETag before updating md on transition,58,3,2019-03-15T18:04:29Z,race condition
https://github.com/jellyfin/jellyfin-web/pull/196,jellyfin/jellyfin-web,https://github.com/jellyfin/jellyfin-web,Return inner promise in createConnectionManager,3480,1,2019-03-18T00:00:59Z,race condition
https://github.com/parcel-bundler/parcel/pull/2787,parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,Cherry-pick fixes from master for flaky tests and others,44050,28,2019-03-14T18:23:12Z,flaky test
https://github.com/appium/appium-adb/pull/424,appium/appium-adb,https://github.com/appium/appium-adb,Retry the flaky test,323,1,2019-03-20T12:41:46Z,flaky test
https://github.com/scratchfoundation/scratch-vm/pull/2071,scratchfoundation/scratch-vm,https://github.com/scratchfoundation/scratch-vm,Stub timer to fix flaky test,1301,1,2019-04-18T15:29:37Z,flaky test
https://github.com/scality/cloudserver/pull/1769,scality/cloudserver,https://github.com/scality/cloudserver,bugfix: ZENKO-1583 Add if-unmodified-since check,1912,3,2019-04-03T20:51:48Z,race condition
https://github.com/scality/backbeat/pull/663,scality/backbeat,https://github.com/scality/backbeat,bugfix: ZENKO-1583 Add if-unmodified-since check,58,8,2019-04-03T23:18:11Z,race condition
https://github.com/remotestorage/armadietto/pull/23,remotestorage/armadietto,https://github.com/remotestorage/armadietto,"Minor fixes: race condition, npm audit fixes, white space interfering with tests on Windows",117,16,2020-02-28T17:49:35Z,race condition
https://github.com/cozy-labs/cozy-desktop/pull/1528,cozy-labs/cozy-desktop,https://github.com/cozy-labs/cozy-desktop,core/local/steps/producer: Fix incomplete scan race condition,102,2,2019-04-02T17:27:01Z,race condition
https://github.com/CesiumGS/cesium/pull/7718,CesiumGS/cesium,https://github.com/CesiumGS/cesium,Fix merging of composite availability,15076,5,2019-04-26T13:46:55Z,race condition
https://github.com/illinois/queue/pull/262,illinois/queue,https://github.com/illinois/queue,Use transactions to fix socket update errors,86,5,2019-04-07T22:18:44Z,race condition
https://github.com/illinois/queue/pull/263,illinois/queue,https://github.com/illinois/queue,Rewrite queue page with hooks,86,18,2019-04-09T17:01:19Z,race condition
https://github.com/parse-community/Parse-SDK-JS/pull/788,parse-community/Parse-SDK-JS,https://github.com/parse-community/Parse-SDK-JS,Fix flaky tests,1347,2,2019-04-04T17:52:39Z,flaky test
https://github.com/atom/atom/pull/19126,atom/atom,https://github.com/atom/atom,Wait until the editor is ready on application test,60963,1,2019-04-10T14:27:36Z,flaky test
https://github.com/nodejs/node/pull/27163,nodejs/node,https://github.com/nodejs/node,v11.14.0 proposal,116553,243,2019-04-11T16:54:25Z,flaky test
https://github.com/wix/Detox/pull/1273,wix/Detox,https://github.com/wix/Detox,fix: stabilize simulator log plugin,11877,13,2019-04-11T09:43:05Z,race condition
https://github.com/trezor/trezor-wallet/pull/500,trezor/trezor-wallet,https://github.com/trezor/trezor-wallet,fix: setInitialUrl - race condition,28,3,2019-04-15T13:13:29Z,race condition
https://github.com/wibsonorg/BatchPayments/pull/58,wibsonorg/BatchPayments,https://github.com/wibsonorg/BatchPayments,Fixed race condition on collect when toAccount==delegate,28,2,2019-04-13T09:37:53Z,race condition
https://github.com/atom/atom/pull/19135,atom/atom,https://github.com/atom/atom,Add ability to retry flaky Jasmine tests,60963,2,2019-04-18T23:32:10Z,flaky test
https://github.com/nextcloud/viewer/pull/73,nextcloud/viewer,https://github.com/nextcloud/viewer,Fix/loading/race condition,118,5,2019-04-17T13:00:45Z,race condition
https://github.com/nextcloud/viewer/pull/74,nextcloud/viewer,https://github.com/nextcloud/viewer,Prevent init race condition,118,5,2019-04-17T14:17:07Z,race condition
https://github.com/lightninglabs/lightning-app/pull/1061,lightninglabs/lightning-app,https://github.com/lightninglabs/lightning-app,Prevent autopilot race condition when initiating,895,2,2019-04-22T05:08:37Z,race condition
https://github.com/Evilweed/protractor-beautiful-reporter/pull/141,Evilweed/protractor-beautiful-reporter,https://github.com/Evilweed/protractor-beautiful-reporter,Fix race condition when writing combined.json,165,3,2019-06-06T11:46:10Z,race condition
https://github.com/cypress-io/cypress/pull/3988,cypress-io/cypress,https://github.com/cypress-io/cypress,Fix flaky cli unit test ,49610,13,2019-04-17T23:10:49Z,flaky test
https://github.com/clinicjs/node-clinic-doctor/pull/237,clinicjs/node-clinic-doctor,https://github.com/clinicjs/node-clinic-doctor,Fix flaky test/cmd-collect.test.js,374,1,2019-04-25T12:08:20Z,flaky test
https://github.com/samsarahq/thunder/pull/238,samsarahq/thunder,https://github.com/samsarahq/thunder,go graphql: Add BatchExecutor for controlled concurrency and Batching Capabilities,1579,25,2019-04-25T23:52:42Z,race condition
https://github.com/sampotts/plyr/pull/1423,sampotts/plyr,https://github.com/sampotts/plyr,v3.5.4,29706,20,2019-04-25T02:11:06Z,race condition
https://github.com/elifesciences/elife-xpub/pull/1964,elifesciences/elife-xpub,https://github.com/elifesciences/elife-xpub,Race condition AutoSave fixes,32,10,2019-05-02T15:30:58Z,race condition
https://github.com/atom/atom/pull/19242,atom/atom,https://github.com/atom/atom,Use async randomBytes API to speedup Windows startup,60963,2,2019-05-01T13:43:44Z,race condition
https://github.com/splitio/javascript-client/pull/252,splitio/javascript-client,https://github.com/splitio/javascript-client,Destroy updates,49,9,2019-05-07T15:42:03Z,race condition
